"ArrayRegularity","NRL","Shift","ORF"
0.75,157,0,"YDR098C"
0.74,167,28,"YDR099W"
0.85,166,-9,"YDR100W"
0.9,164,0,"YDR101C"
0.63,141,-3,"YDR103W"
0.89,164,-10,"YDR104C"
0.83,164,-1,"YDR105C"
0.9,171,15,"YDR106W"
0.87,171,4,"YDR107C"
0.91,166,8,"YDR108W"
0.9,162,-1,"YDR110W"
0.86,161,-2,"YDR113C"
0.91,165,0,"YDR116C"
0.92,163,-7,"YDR117C"
0.94,167,4,"YDR118W"
0.82,166,3,"YDR120C"
0.87,168,-3,"YDR121W"
0.92,166,5,"YDR122W"
0.96,177,2,"YDR123C"
0.88,170,12,"YDR125C"
0.76,176,-6,"YDR126W"
0.81,161,9,"YDR127W"
0.92,161,5,"YDR128W"
0.83,162,-41,"YDR129C"
0.72,167,6,"YDR130C"
0.86,169,-3,"YDR135C"
0.96,169,-5,"YDR137W"
0.79,164,0,"YDR138W"
0.89,169,-2,"YDR139C"
0.92,175,4,"YDR140W"
0.96,163,0,"YDR141C"
0.78,159,-7,"YDR142C"
0.92,169,0,"YDR143C"
0.82,167,22,"YDR144C"
0.78,160,4,"YDR145W"
0.89,173,1,"YDR146C"
0.91,164,-6,"YDR147W"
0.81,166,-12,"YDR148C"
0.77,165,70,"YDR150W"
0.95,170,-3,"YDR151C"
0.88,165,6,"YDR152W"
0.83,165,5,"YDR153C"
0.41,203,-70,"YDR155C"
0.66,196,-9,"YDR156W"
0.89,167,-17,"YDR158W"
0.83,162,0,"YDR159W"
0.94,164,1,"YDR160W"
